SampleID,Plate,Description,Run,Row,Column,Well,isotope,treatment,ecosystem,sampleID,Density.g.ml,avg_16S_copies,dna_ng_ul,uL_added,dry_soil_wt_g,timepoint,avg_16S_g_soil
DIM.5.12,1,5.12,1,A,11,A11,16O,C,GL,W1_GL_5,1.700322,560960.2897,21.9,50,0.252333267430461,7,64634.2204560452
DIM.5.13,1,5.13,1,B,11,B11,16O,C,GL,W1_GL_5,1.694948,988141.699,21.9,50,0.252333267430461,7,113854.348672583
DIM.5.14,1,5.14,1,C,11,C11,16O,C,GL,W1_GL_5,1.689574,461967.3426,21.9,50,0.252333267430461,7,53228.1867600115
DIM.5.15,1,5.15,1,D,11,D11,16O,C,GL,W1_GL_5,1.6863496,96874.97023,21.9,50,0.252333267430461,7,11161.9989819016
DIM.5.16,1,5.16,1,E,11,E11,16O,C,GL,W1_GL_5,1.6809756,64249.05946,21.9,50,0.252333267430461,7,7402.81968167843
DIM.5.17,1,5.17,1,F,11,F11,16O,C,GL,W1_GL_5,1.6756016,29798.98453,21.9,50,0.252333267430461,7,3433.4589646414
DIM.5.18,1,5.18,1,G,11,G11,16O,C,GL,W1_GL_5,1.672,21636.42629,21.9,50,0.252333267430461,7,2492.96353482832
DIM.5.5,1,5.5,1,B,10,B10,16O,C,GL,W1_GL_5,1.7347156,2399.292456,21.9,50,0.252333267430461,7,276.448084449194
DIM.5.6,1,5.6,1,C,10,C10,16O,C,GL,W1_GL_5,1.7304164,2809.176729,21.9,50,0.252333267430461,7,323.675225031135
DIM.5.8,1,5.8,1,E,10,E10,16O,C,GL,W1_GL_5,1.7207432,3281.884832,21.9,50,0.252333267430461,7,378.140969401383
DIM.5.9,1,5.9,1,F,10,F10,16O,C,GL,W1_GL_5,1.7153692,6378.540016,21.9,50,0.252333267430461,7,734.939654645308
DIM.52.11,1,52.11,1,H,5,H5,16O,C,PJ,W1_PJ_4,1.7190956,7189.081387,30.2,35,0.250350680462817,7,595.957422893385
DIM.52.12,1,52.12,1,A,6,A6,16O,C,PJ,W1_PJ_4,1.714802,13937.73488,30.2,35,0.250350680462817,7,1155.40444083389
DIM.52.13,1,52.13,1,B,6,B6,16O,C,PJ,W1_PJ_4,1.7105084,49307.1467,30.2,35,0.250350680462817,7,4087.44295629965
DIM.52.14,1,52.14,1,C,6,C6,16O,C,PJ,W1_PJ_4,1.7062148,195296.6007,30.2,35,0.250350680462817,7,16189.6148600398
DIM.52.15,1,52.15,1,D,6,D6,16O,C,PJ,W1_PJ_4,1.7008478,529304.8505,30.2,35,0.250350680462817,7,43878.0892367366
DIM.52.16,1,52.16,1,E,6,E6,16O,C,PJ,W1_PJ_4,1.6965542,548626.2595,30.2,35,0.250350680462817,7,45479.7872137732
DIM.52.17,1,52.17,1,F,6,F6,16O,C,PJ,W1_PJ_4,1.693334,250020.7963,30.2,35,0.250350680462817,7,20726.118040914
DIM.52.18,1,52.18,1,G,6,G6,16O,C,PJ,W1_PJ_4,1.687967,115894.1371,30.2,35,0.250350680462817,7,9607.34307438278
DIM.52.19,1,52.19,1,H,6,H6,16O,C,PJ,W1_PJ_4,1.6832,87147.75075,30.2,35,0.250350680462817,7,7224.33731823393
DIM.52.20,1,52.2,1,A,7,A7,16O,C,PJ,W1_PJ_4,1.6787,29026.95256,30.2,35,0.250350680462817,7,2406.26401495295
DIM.52.9,1,52.9,1,F,5,F5,16O,C,PJ,W1_PJ_4,1.7287562,2273.951783,30.2,35,0.250350680462817,7,188.505091461485
DIM.53.10,2,53.1,1,A,7,A7,16O,C,PJ,W1_PJ_5,1.7024716,96427.17674,13.6,75,0.246219481115245,7,17457.5363399491
DIM.53.11,2,53.11,1,B,7,B7,16O,C,PJ,W1_PJ_5,1.6981724,581682.1004,13.6,75,0.246219481115245,7,105309.900687143
DIM.53.12,2,53.12,1,C,7,C7,16O,C,PJ,W1_PJ_5,1.6938732,630970.6549,13.6,75,0.246219481115245,7,114233.284741488
DIM.53.13,2,53.13,1,D,7,D7,16O,C,PJ,W1_PJ_5,1.689574,340604.4072,13.6,75,0.246219481115245,7,61664.2944164336
DIM.53.14,2,53.14,1,E,7,E7,16O,C,PJ,W1_PJ_5,1.6852748,129652.8461,13.6,75,0.246219481115245,7,23472.835655777
DIM.53.15,2,53.15,1,F,7,F7,16O,C,PJ,W1_PJ_5,1.6809756,69842.71187,13.6,75,0.246219481115245,7,12644.5854972889
DIM.53.16,2,53.16,1,G,7,G7,16O,C,PJ,W1_PJ_5,1.6766764,33802.4589,13.6,75,0.246219481115245,7,6119.72344910103
DIM.53.17,2,53.17,1,H,7,H7,16O,C,PJ,W1_PJ_5,1.6723772,14472.09908,13.6,75,0.246219481115245,7,2620.08288685736
DIM.53.18,2,53.18,1,A,8,A8,16O,C,PJ,W1_PJ_5,1.6670032,14874.73323,13.6,75,0.246219481115245,7,2692.97727766051
DIM.53.19,2,53.19,1,B,8,B8,16O,C,PJ,W1_PJ_5,1.6616,18967.70864,13.6,75,0.246219481115245,7,3433.98483771026
DIM.53.5,2,53.5,1,D,6,D6,16O,C,PJ,W1_PJ_5,1.7261172,9386.667901,13.6,75,0.246219481115245,7,1699.39742645981
DIM.53.8,2,53.8,1,G,6,G6,16O,C,PJ,W1_PJ_5,1.71107,12355.56358,13.6,75,0.246219481115245,7,2236.89739231913
